id,Name,Area,Perimeter,Max.Distanc
1,01InjCTD,216.6415588,269.977768,123.6794366
1.1,01InjWTW,92.02734893,132.2901841,63.71524937
1.2,01WTWCTD,124.6145977,140.8175283,63.17369952
2,02InjCTD,306.0590424,649.5731632,289.0847379
2.1,02InjWTW,192.4167133,450.9042411,206.9798884
2.2,02WTWCTD,113.6423291,200.328212,83.48259003
3,03InjCTD,129.1200795,255.365097,120.1420812
3.1,03InjWTW,57.78551185,114.6422202,52.70380423
3.2,03WTWCTD,71.30552962,142.9388676,67.56986716
4,04InjCTD,140.7419635,244.1300147,98.37744295
4.1,04InjWTW,34.37004971,58.6392026,24.56118712
4.2,04WTWCTD,106.3554821,187.5762247,75.04896203
5,1upperInjCTD,75.88923256,170.4969331,76.33372284
5.1,1upperInjWTW,55.98414887,116.5065645,52.21143191
5.2,1upperWTWCTD,19.88280319,56.19031985,26.8196438
